MES,EMPRESA ECUADOR,EMPRESA EXTERIOR,PUERTO ECUADOR,PUERTO ORIGEN,PAIS ORIGEN,REGION ORIGEN,FECHA EMBARQUE,PROVINCIA EMPRESA ECUADOR,20,40,CONT,TEUS_FCL,TEUS_LCL,COMMODITY,EMPRESA DE TRANSPORTE,FREIGHT FORWARDER ORIGEN,FREIGHT FORWARDER DESTINO,TIPO DESPACHO,20_FT_IC,20_FT_OT,20_FT_TEMP_CONT,20_FT_OTROS,40_FT_IC,40_FT_OT,40_FT_NOR,40_FT_TEMP_CONT,40_FT_OTROS,INCOTERM
1,CORPETROLSA S.A.,MONJASA S.A.,ECLLD,BALBOA,PANAMA,LATAM,2025-12-28,GUAYAS,0,0,0,0,0,DERIVADOS DE PETROLEO,NAVICORP AGENCY,ZZ OTROS LIBERADORES DIRECTOS,ZZ OTROS LIBERADORES DIRECTOS,BB O GRANEL,0,0,0,0,0,0,0,0,0,CFR
1,GENERAL MOTORS DEL ECUADOR S.A.,GENERAL MOTORS OVERSEAS DISTRIBUTION LLC,ECMEC,CARDENAS,MEXICO,NORAM,2025-12-28,PICHINCHA,0,0,0,0,0,VEHICULO,HYUNDAI GLOVIS,ZZ OTROS LIBERADORES DIRECTOS,ZZ OTROS LIBERADORES DIRECTOS,BB O GRANEL,0,0,0,0,0,0,0,0,0,CFR
1,GENERAL MOTORS DEL ECUADOR S.A.,GENERAL MOTORS OVERSEAS DISTRIBUTION LLC,ECMEC,CARDENAS,MEXICO,NORAM,2025-12-28,PICHINCHA,0,0,0,0,0,VEHICULO,HYUNDAI GLOVIS,ZZ OTROS LIBERADORES DIRECTOS,ZZ OTROS LIBERADORES DIRECTOS,BB O GRANEL,0,0,0,0,0,0,0,0,0,CFR
1,FERTISA AGIF C.L.,NITRON GROUP LLC,ECGYE,KOTKA,FINLAND,EUROPE,2025-11-06,GUAYAS,0,0,0,0,0,FERTILIZANTE,N.Y.K. LINE,ZZ OTROS LIBERADORES DIRECTOS,ZZ OTROS LIBERADORES DIRECTOS,BB O GRANEL,0,0,0,0,0,0,0,0,0,CFR
1,FERTISA AGIF C.L.,NITRON GROUP LLC,ECGYE,KOTKA,FINLAND,EUROPE,2025-11-06,GUAYAS,0,0,0,0,0,FERTILIZANTE,N.Y.K. LINE,ZZ OTROS LIBERADORES DIRECTOS,ZZ OTROS LIBERADORES DIRECTOS,BB O GRANEL,0,0,0,0,0,0,0,0,0,ZZZ
1,FERTISA AGIF C.L.,NITRON GROUP LLC,ECGYE,KOTKA,FINLAND,EUROPE,2025-11-06,GUAYAS,0,0,0,0,0,FERTILIZANTE,N.Y.K. LINE,ZZ OTROS LIBERADORES DIRECTOS,ZZ OTROS LIBERADORES DIRECTOS,BB O GRANEL,0,0,0,0,0,0,0,0,0,ZZZ
1,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,NITRON GROUP LLC,ECGYE,KOTKA,FINLAND,EUROPE,2025-11-06,GUAYAS,0,0,0,0,0,FERTILIZANTE,N.Y.K. LINE,ZZ OTROS LIBERADORES DIRECTOS,ZZ OTROS LIBERADORES DIRECTOS,BB O GRANEL,0,0,0,0,0,0,0,0,0,CFR
1,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,NITRON GROUP LLC,ECGYE,KOTKA,FINLAND,EUROPE,2025-11-06,GUAYAS,0,0,0,0,0,FERTILIZANTE,N.Y.K. LINE,ZZ OTROS LIBERADORES DIRECTOS,ZZ OTROS LIBERADORES DIRECTOS,BB O GRANEL,0,0,0,0,0,0,0,0,0,CFR
1,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,NITRON GROUP LLC,ECGYE,KOTKA,FINLAND,EUROPE,2025-11-06,GUAYAS,0,0,0,0,0,FERTILIZANTE,N.Y.K. LINE,ZZ OTROS LIBERADORES DIRECTOS,ZZ OTROS LIBERADORES DIRECTOS,BB O GRANEL,0,0,0,0,0,0,0,0,0,CFR
1,FERTILIZANTES DEL PACIFICO FERPACIFIC S.A.,NITRON GROUP LLC,ECGYE,KOTKA,FINLAND,EUROPE,2025-11-06,GUAYAS,0,0,0,0,0,FERTILIZANTE,N.Y.K. LINE,ZZ OTROS LIBERADORES DIRECTOS,ZZ OTROS LIBERADORES DIRECTOS,BB O GRANEL,0,0,0,0,0,0,0,0,0,CFR
